size_sqft,bedrooms,bathrooms,year_built,garage_spaces,floors,lot_size_sqft,has_pool,neighborhood,price
992.0,6.0,2.5,1997.0,1.0,2.0,9198.0,0.0,Downtown,419262.41
4006.0,1.0,4.5,2002.0,0.0,2.0,15377.0,1.0,Rural,456521.48
3480.0,3.0,1.5,1969.0,2.0,1.0,3607.0,0.0,Suburbs,522940.05
2531.0,3.0,2.5,1976.0,2.0,1.0,18229.0,0.0,Rural,315700.19
2505.0,5.0,4.0,2019.0,1.0,2.0,11280.0,1.0,Uptown,603137.57
4378.0,1.0,4.0,2013.0,3.0,2.0,12776.0,0.0,Suburbs,669765.69
978.0,3.0,2.0,1980.0,2.0,2.0,5409.0,0.0,Uptown,320237.45
3669.0,1.0,3.5,1967.0,0.0,1.0,11514.0,1.0,Downtown,802782.3
1486.0,5.0,1.0,1972.0,3.0,2.0,2056.0,1.0,Rural,180161.99
1014.0,4.0,1.0,1989.0,0.0,1.0,18023.0,0.0,Suburbs,289617.78
2917.0,3.0,2.0,1991.0,2.0,1.0,15480.0,1.0,Suburbs,514419.47
4893.0,3.0,4.5,1963.0,1.0,2.0,10180.0,0.0,Downtown,1070593.47
3838.0,1.0,3.5,1954.0,2.0,2.0,17045.0,0.0,Suburbs,612714.46
3949.0,6.0,2.5,1986.0,3.0,2.0,16609.0,0.0,Suburbs,712162.65
3757.0,4.0,2.5,2009.0,2.0,3.0,4143.0,0.0,Suburbs,625179.08
4059.0,2.0,1.0,1961.0,2.0,3.0,2969.0,0.0,Waterfront,910726.79
2858.0,3.0,2.0,1980.0,3.0,2.0,6564.0,1.0,Suburbs,506481.18
1163.0,5.0,1.0,1961.0,2.0,3.0,2023.0,0.0,Downtown,372061.7
4295.0,5.0,1.5,1967.0,3.0,1.0,12316.0,0.0,Uptown,863613.65
2582.0,3.0,3.5,1995.0,1.0,3.0,11509.0,0.0,Suburbs,485212.52
2802.0,2.0,1.0,1971.0,0.0,2.0,11684.0,0.0,Uptown,536584.27
2231.0,4.0,1.0,1969.0,0.0,3.0,3325.0,0.0,Rural,269872.41
1403.0,4.0,3.0,2023.0,2.0,3.0,18528.0,1.0,Downtown,570245.9
