house_size,bedrooms,bathrooms,lot_size,garage_size,neighborhood_quality,year_built,price
1660.0,2.0,4,2264.0,3.0,Premium,2000,338971
4572.0,5.0,4,,3.0,High,1996,629590
3892.0,1.0,4,13749.0,0.0,High,2002,479295
1266.0,1.0,1,2645.0,2.0,Premium,2013,274697
4244.0,1.0,1,9544.0,3.0,High,1987,543140
3971.0,1.0,2,7569.0,1.0,Medium,2013,416367
3719.0,1.0,1,4990.0,0.0,Premium,1956,434176
930.0,5.0,4,12091.0,1.0,Medium,1971,240552
2485.0,3.0,2,4504.0,1.0,High,1990,351803
1569.0,2.0,2,12964.0,2.0,Premium,1959,351035
3191.0,1.0,2,11346.0,1.0,High,2006,436426
3233.0,3.0,4,2587.0,2.0,High,1956,386370
1984.0,3.0,3,14763.0,3.0,High,1999,385010
4185.0,2.0,4,12013.0,0.0,Medium,2001,518896
4917.0,5.0,1,11177.0,1.0,Premium,1982,619823
3704.0,4.0,1,6079.0,0.0,Medium,1950,411521
1274.0,4.0,4,5348.0,1.0,Low,2002,227665
1882.0,3.0,4,8299.0,0.0,Medium,2009,315737
3358.0,6.0,2,5831.0,1.0,Medium,1983,408372
2847.0,6.0,4,11433.0,1.0,Medium,1953,385074
3547.0,2.0,2,10381.0,1.0,High,1966,458938
1775.0,4.0,1,11172.0,1.0,Medium,1953,301907
2606.0,3.0,2,11890.0,1.0,Medium,1992,348644
989.0,5.0,4,3715.0,1.0,Low,1953,163676
3534.0,4.0,1,12785.0,1.0,Medium,1950,423380
3805.0,3.0,3,14328.0,1.0,High,2020,557436
2699.0,3.0,2,8450.0,1.0,Low,1999,341932
2067.0,1.0,1,14625.0,0.0,Medium,2022,292003
2328.0,5.0,2,7433.0,2.0,Medium,2010,357545
4002.0,1.0,1,3098.0,1.0,Low,1984,373732
4356.0,2.0,1,9096.0,,Medium,1957,449994
4690.0,1.0,2,4326.0,1.0,Low,1973,438234
1446.0,1.0,3,13439.0,1.0,High,1985,292574
3688.0,,1,11087.0,0.0,High,1999,465742
3235.0,6.0,1,8416.0,3.0,Medium,1992,433732
1400.0,3.0,1,8980.0,3.0,Premium,1976,355327
3163.0,5.0,3,8763.0,0.0,Medium,1981,393080
2861.0,1.0,3,3674.0,2.0,Medium,1967,336743
1041.0,5.0,4,13101.0,3.0,Premium,1977,351109
2841.0,6.0,2,9950.0,0.0,Medium,1978,370929
3624.0,6.0,3,11122.0,0.0,Premium,1965,510620
3412.0,1.0,2,14576.0,3.0,Low,1996,426147
2163.0,2.0,4,10915.0,2.0,Medium,2008,352210
2278.0,1.0,2,13132.0,0.0,Low,1980,265715
3356.0,4.0,3,8049.0,1.0,High,1953,428102
1575.0,3.0,2,3089.0,2.0,High,1986,294651
4814.0,2.0,3,6578.0,2.0,High,1966,540413
834.0,1.0,2,11127.0,3.0,Medium,1988,230590
3952.0,5.0,3,12487.0,3.0,Medium,1997,529435
2755.0,2.0,3,2155.0,1.0,Low,1995,308022
2385.0,2.0,2,11262.0,0.0,Medium,1997,339783
4743.0,1.0,4,3958.0,3.0,Premium,1988,572746
3873.0,2.0,1,12693.0,3.0,Medium,1953,444578
1821.0,5.0,4,8344.0,2.0,High,1979,325525
4261.0,6.0,2,7779.0,3.0,High,1979,570628
3413.0,2.0,4,14411.0,3.0,Medium,1971,477000
4643.0,6.0,3,8144.0,3.0,High,2015,619647
2300.0,5.0,1,7063.0,3.0,Low,1961,323039
961.0,1.0,2,5830.0,2.0,Low,1985,164298
2781.0,3.0,2,11046.0,1.0,Low,1967,321712
1795.0,2.0,2,10831.0,1.0,High,2002,304146
4142.0,3.0,1,12430.0,0.0,Medium,2020,466723
4598.0,5.0,3,11794.0,3.0,Medium,1950,575053
2075.0,2.0,2,8659.0,2.0,Medium,2007,309932
1816.0,6.0,4,2441.0,0.0,Medium,1955,283082
1137.0,4.0,2,8040.0,,High,2019,265922
1678.0,3.0,2,7925.0,1.0,High,1993,289840
1876.0,2.0,2,9358.0,2.0,Low,2021,262482
4793.0,3.0,2,6628.0,2.0,Medium,1973,506316
1179.0,2.0,3,8370.0,2.0,High,1968,291534
1292.0,1.0,4,11528.0,1.0,Medium,1967,221815
2862.0,6.0,3,13892.0,,High,1979,493254
4684.0,3.0,4,2948.0,1.0,Medium,1991,483147
