Model,MAE,RMSE,R2,MAPE
Linear Regression,43443.4675,56041.3603,0.9507,9.4746
Ridge,43493.1949,56098.4676,0.9506,9.4569
Lasso,43474.3067,56071.069,0.9507,9.4535
ElasticNet,51493.9933,67769.3513,0.9279,9.3997
Decision Tree,40148.0379,50274.8934,0.9603,7.942
Random Forest,27322.3913,34181.5961,0.9817,5.3713
Extra Trees,25364.9737,31806.4466,0.9841,4.9822
Gradient Boosting,22962.3852,28968.0314,0.9868,4.4278
XGBoost,23567.7276,29520.5044,0.9863,4.6055
KNN,89463.5853,117574.3733,0.7831,17.6284
SVR,35005.2741,47214.986,0.965,6.6423
